date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,home_pen_bol,away_pen_bol,home_pen_real,away_pen_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,time_elapsed,who
2026-06-16,20h,argentina-vs-argelia,Argentina,Argélia,2.0,0.0,,,,,,,2 x 0,Argentina,,,notstarted,LLM GPT
2026-06-16,21h,austria-vs-jordania,Áustria,Jordânia,2.0,0.0,,,,,,,2 x 0,Áustria,,,notstarted,LLM GPT
2026-06-17,12h,portugal-vs-rd_congo,Portugal,RD Congo,3.0,0.0,,,,,,,3 x 0,Portugal,,,notstarted,LLM GPT
2026-06-17,15h,inglaterra-vs-croacia,Inglaterra,Croácia,2.0,1.0,,,,,,,2 x 1,Inglaterra,,,notstarted,LLM GPT
2026-06-17,19h,gana-vs-panama,Gana,Panamá,2.0,0.0,,,,,,,2 x 0,Gana,,,notstarted,LLM GPT
2026-06-17,20h,uzbequistao-vs-colombia,Uzbequistão,Colômbia,1.0,2.0,,,,,,,1 x 2,Colômbia,,,notstarted,LLM GPT
2026-06-18,12h,republica_tcheca-vs-africa_do_sul,República Tcheca,África do Sul,2.0,1.0,,,,,,,2 x 1,República Tcheca,,,notstarted,LLM GPT
2026-06-18,12h,suica-vs-bosnia,Suíça,Bósnia,2.0,0.0,,,,,,,2 x 0,Suíça,,,notstarted,LLM GPT
2026-06-18,15h,canada-vs-catar,Canadá,Catar,2.0,0.0,,,,,,,2 x 0,Canadá,,,notstarted,LLM GPT
2026-06-18,19h,mexico-vs-coreia_do_sul,México,Coréia do Sul,2.0,1.0,,,,,,,2 x 1,México,,,notstarted,LLM GPT
2026-06-19,12h,estados_unidos-vs-australia,Estados Unidos,Austrália,2.0,0.0,,,,,,,2 x 0,Estados Unidos,,,notstarted,LLM GPT
2026-06-19,18h,escocia-vs-marrocos,Escócia,Marrocos,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-19,20h,turquia-vs-paraguai,Turquia,Paraguai,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-19,21h,brasil-vs-haiti,Brasil,Haiti,3.0,0.0,,,,,,,3 x 0,Brasil,,,notstarted,LLM GPT
2026-06-20,12h,holanda-vs-suecia,Holanda,Suécia,2.0,1.0,,,,,,,2 x 1,Holanda,,,notstarted,LLM GPT
2026-06-20,16h,alemanha-vs-costa_do_marfim,Alemanha,Costa do Marfim,2.0,1.0,,,,,,,2 x 1,Alemanha,,,notstarted,LLM GPT
2026-06-20,19h,equador-vs-curacao,Equador,Curaçao,2.0,0.0,,,,,,,2 x 0,Equador,,,notstarted,LLM GPT
2026-06-20,22h,tunisia-vs-japao,Tunísia,Japão,0.0,1.0,,,,,,,0 x 1,Japão,,,notstarted,LLM GPT
2026-06-21,12h,espanha-vs-arabia_saudita,Espanha,Arábia Saudita,3.0,0.0,,,,,,,3 x 0,Espanha,,,notstarted,LLM GPT
2026-06-21,12h,belgica-vs-ira,Bélgica,Irã,2.0,0.0,,,,,,,2 x 0,Bélgica,,,notstarted,LLM GPT
2026-06-21,18h,nova_zelandia-vs-egito,Nova Zelândia,Egito,0.0,1.0,,,,,,,0 x 1,Egito,,,notstarted,LLM GPT
2026-06-21,18h,uruguai-vs-cabo_verde,Uruguai,Cabo Verde,2.0,0.0,,,,,,,2 x 0,Uruguai,,,notstarted,LLM GPT
2026-06-22,12h,argentina-vs-austria,Argentina,Áustria,2.0,1.0,,,,,,,2 x 1,Argentina,,,notstarted,LLM GPT
2026-06-22,17h,franca-vs-iraque,França,Iraque,3.0,0.0,,,,,,,3 x 0,França,,,notstarted,LLM GPT
2026-06-22,20h,noruega-vs-senegal,Noruega,Senegal,2.0,1.0,,,,,,,2 x 1,Noruega,,,notstarted,LLM GPT
2026-06-22,20h,jordania-vs-argelia,Jordânia,Argélia,0.0,1.0,,,,,,,0 x 1,Argélia,,,notstarted,LLM GPT
2026-06-23,12h,portugal-vs-uzbequistao,Portugal,Uzbequistão,2.0,0.0,,,,,,,2 x 0,Portugal,,,notstarted,LLM GPT
2026-06-23,16h,inglaterra-vs-gana,Inglaterra,Gana,2.0,0.0,,,,,,,2 x 0,Inglaterra,,,notstarted,LLM GPT
2026-06-23,19h,panama-vs-croacia,Panamá,Croácia,0.0,2.0,,,,,,,0 x 2,Croácia,,,notstarted,LLM GPT
2026-06-23,20h,colombia-vs-rd_congo,Colômbia,RD Congo,2.0,0.0,,,,,,,2 x 0,Colômbia,,,notstarted,LLM GPT
2026-06-24,12h,suica-vs-canada,Suíça,Canadá,2.0,1.0,,,,,,,2 x 1,Suíça,,,notstarted,LLM GPT
2026-06-24,12h,bosnia-vs-catar,Bósnia,Catar,1.0,0.0,,,,,,,1 x 0,Bósnia,,,notstarted,LLM GPT
2026-06-24,18h,escocia-vs-brasil,Escócia,Brasil,0.0,2.0,,,,,,,0 x 2,Brasil,,,notstarted,LLM GPT
2026-06-24,18h,marrocos-vs-haiti,Marrocos,Haiti,3.0,0.0,,,,,,,3 x 0,Marrocos,,,notstarted,LLM GPT
2026-06-24,19h,republica_tcheca-vs-mexico,República Tcheca,México,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-24,19h,africa_do_sul-vs-coreia_do_sul,África do Sul,Coréia do Sul,0.0,1.0,,,,,,,0 x 1,Coréia do Sul,,,notstarted,LLM GPT
2026-06-25,16h,curacao-vs-costa_do_marfim,Curaçao,Costa do Marfim,0.0,2.0,,,,,,,0 x 2,Costa do Marfim,,,notstarted,LLM GPT
2026-06-25,16h,equador-vs-alemanha,Equador,Alemanha,1.0,2.0,,,,,,,1 x 2,Alemanha,,,notstarted,LLM GPT
2026-06-25,18h,japao-vs-suecia,Japão,Suécia,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-25,18h,tunisia-vs-holanda,Tunísia,Holanda,0.0,2.0,,,,,,,0 x 2,Holanda,,,notstarted,LLM GPT
2026-06-25,19h,paraguai-vs-australia,Paraguai,Austrália,1.0,0.0,,,,,,,1 x 0,Paraguai,,,notstarted,LLM GPT
2026-06-25,19h,turquia-vs-estados_unidos,Turquia,Estados Unidos,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-26,15h,senegal-vs-iraque,Senegal,Iraque,2.0,0.0,,,,,,,2 x 0,Senegal,,,notstarted,LLM GPT
2026-06-26,15h,noruega-vs-franca,Noruega,França,1.0,2.0,,,,,,,1 x 2,França,,,notstarted,LLM GPT
2026-06-26,18h,uruguai-vs-espanha,Uruguai,Espanha,1.0,2.0,,,,,,,1 x 2,Espanha,,,notstarted,LLM GPT
2026-06-26,19h,cabo_verde-vs-arabia_saudita,Cabo Verde,Arábia Saudita,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-26,20h,nova_zelandia-vs-belgica,Nova Zelândia,Bélgica,0.0,3.0,,,,,,,0 x 3,Bélgica,,,notstarted,LLM GPT
2026-06-26,20h,egito-vs-ira,Egito,Irã,2.0,1.0,,,,,,,2 x 1,Egito,,,notstarted,LLM GPT
2026-06-27,17h,panama-vs-inglaterra,Panamá,Inglaterra,0.0,3.0,,,,,,,0 x 3,Inglaterra,,,notstarted,LLM GPT
2026-06-27,17h,croacia-vs-gana,Croácia,Gana,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-27,19h,colombia-vs-portugal,Colômbia,Portugal,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-27,19h,rd_congo-vs-uzbequistao,RD Congo,Uzbequistão,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-27,21h,argelia-vs-austria,Argélia,Áustria,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,LLM GPT
2026-06-27,21h,jordania-vs-argentina,Jordânia,Argentina,0.0,3.0,,,,,,,0 x 3,Argentina,,,notstarted,LLM GPT
